landuse,area_m2,area_km2,percentage
forest,108581714.3,108.5817143,59.34813384
residential,41596000.78,41.59600078,22.73536606
orchard,11671502.86,11.67150286,6.379360634
farmland,10149199.99,10.14919999,5.547306775
grass,2356181.002,2.356181002,1.28783144
industrial,2149952.597,2.149952597,1.175111991
railway,1361646.216,1.361646216,0.744242826
,1100374.75,1.10037475,0.601438174
military,947892.1963,0.947892196,0.518094905
construction,463696.2597,0.46369626,0.253445139
cemetery,449705.6348,0.449705635,0.245798203
commercial,413871.2644,0.413871264,0.226212004
quarry,374438.0741,0.374438074,0.204658778
meadow,339628.3793,0.339628379,0.185632642
vineyard,321628.057,0.321628057,0.175794102
greenhouse_horticulture,162869.531,0.162869531,0.089020539
retail,157482.0774,0.157482077,0.086075887
recreation_ground,143593.51,0.14359351,0.078484733
allotments,84295.17908,0.084295179,0.046073702
brownfield,47534.0107,0.047534011,0.025980938
greenfield,33380.71939,0.033380719,0.018245092
abandoned,16074.8231,0.016074823,0.008786109
plant_nursery,14081.77622,0.014081776,0.007696758
flowerbed,11085.26625,0.011085266,0.006058938
greenery,6612.728711,0.006612729,0.003614357
agriculture,2256.963345,0.002256963,0.001233601
highway,355.8672027,0.000355867,0.000194508
basin,160.3210357,0.000160321,8.76276E-05
garden,36.04117185,3.60412E-05,1.96992E-05
